frame_id,source,frame,camera,folder,blur,brightness,blur_bin,brightness_bin,max_conf,conf_band,n_boxes,max_area_frac,large_box
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0372.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0372.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,53.2,121.6,mid,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0599.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0599.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,83.0,123.8,high,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0669.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0669.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,55.4,120.7,mid,high,0.195,low,3,0.003150,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0733.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0733.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,67.4,115.8,high,high,0.558,high,2,0.003287,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0740.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0740.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,59.9,113.7,mid,high,0.270,mid,2,0.003277,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0742.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0742.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,75.6,114.8,high,high,0.310,mid,3,0.008500,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0809.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0809.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,67.3,110.1,high,high,0.124,low,1,0.001124,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0865.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0865.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,75.9,61.8,high,low,0.257,mid,1,0.003160,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0867.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0867.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,136.7,54.5,high,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0869.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0869.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,153.6,46.9,high,low,0.180,low,1,0.002989,no
